А,Point_type,Category,Category_eng,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Phone,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
625,6,Замын гуанз,Roadside_Diner,Эрдэнсант замын гуанз,Erdensant Road Canteen,Төв,Tuv,Эрдэнэсант,Erdenesant,47.3397,104.48049,,Tourism/Сүүн сувилал.jpg,에르덴산트 로드 구내식당,エルデンサントロード・キャンティーン,厄登森特路食堂,Столовая на дороге Эрденсант
626,6,Замын гуанз,Roadside_Diner,Mars Tourist Station,Mars Tourist Station,Төв,Tuv,Эрдэнэсант,Erdenesant,47.35606,104.18615,88688835,Tourism/Сүүн сувилал1.jpg,마스 관광 안내소,火星観光ステーション,火星旅游站,Туристическая станция Марса
627,10,Шатахуун түгээх станц,Gas_Station,Горгаз,Gorgas Gas Fuel,Төв,Tuv,Борнуур,Bornuur,48.47233,106.18499,,Tourism/Сүүринг грэйн.jpg,고르가스 가스 연료,ゴルガスガス燃料,戈尔加斯气体燃料,Газовое топливо Горгаз
628,6,Замын гуанз,Roadside_Diner,Бамбарууш зоогийн газар,Bambaruush Restaurant,Төв,Tuv,Борнуур,Bornuur,48.44565,106.20166,99448257,Tourism/Сөгнөгөр гол.jpg,밤바루쉬 레스토랑,バンバルーシュレストラン,班巴鲁什餐厅,Ресторан Бамбаруш
629,2,Амралтын газар,Resort,Бугат амралтын газар,Bugat Resort,Төв,Tuv,Баянчандмань,Bayanchandmani,48.17637,106.38739,8840 3048,Tourism/Сөгнөгөр хаус.jpg,부가트 리조트,ブガット リゾート,布加特度假村,Курорт Бугат
630,1,Жуулчны бааз,Tourist_Camp,Суут хаус түрээс,Suut House Rent,Төв,Tuv,Баянчандмань,Bayanchandmani,48.17498,106.40635,8800 7338,Tourism/Сөгнөгөр эко.jpg,수트 하우스 임대,スウトハウスの家賃,Suut House 出租,Аренда дома Suut
631,1,Жуулчны бааз,Tourist_Camp,Хүннү отог,Hunnu Оtog,Төв,Tuv,Баянчандмань,Bayanchandmani,48.14653,106.37543,80050512,Tourism/Сөртийн тулга.jpg,훈누 오토그,フンヌ・オトグ,匈奴奥托格,Хунну Отог
632,2,Амралтын газар,Resort,"Арга билэг амралт, сувилал",Arga Bileg Resort,Төв,Tuv,Сэргэлэн,Sergelen,47.61677,107.23541,,Tourism/ТАУ ресорт.jpg,아르가 빌레그 리조트,アルガ ビレグ リゾート,阿尔加比莱格度假村,Курорт Арга Билег
633,6,Замын гуанз,Roadside_Diner,Болор зоогийн газар,Bolor Restaurant,Төв,Tuv,Баян,Bayan,47.0533,107.64111,99068381,Tourism/Табимонгол.jpg,볼로르 레스토랑,ボロルレストラン,博洛尔餐厅,Ресторан «Болор»
634,10,Шатахуун түгээх станц,Gas_Station,Camel Oil Station,Camel Oil Station,Төв,Tuv,Баянцагаан,Bayantsagaan,46.7803,106.6026,,Tourism/Таван-Од цайны газар.jpeg,카멜 오일 스테이션,キャメルオイルステーション,骆驼油站,Автозаправочная станция Кемел Ойл
635,1,Жуулчны бааз,Tourist_Camp,Хэцүү хад,Khetsuu Rock,Увс,Uvs,Завхан,Zavkhan,49.03273,93.479,"99067339, 98827339",Tourism/Тайван төгөл.jpg,케츠우 관광캠프,ケツウ ハド ツーリスト キャンプ,凯苏哈德旅游营地,У Хецуу хад туристический лагерь
636,1,Жуулчны бааз,Tourist_Camp,Баруун эрэг,Baruun Beach,Увс,Uvs,Завхан,Zavkhan,49.02397,93.45858,99001903,Tourism/Тайга жуулчны бааз.jpg,바룬 비치 리조트,バルウン ビーチ リゾート,巴鲁恩海滩度假村,Баруун Бич Резорт
637,1,Жуулчны бааз,Tourist_Camp,Өгөөмөр тур Хяргас нуур,Uguumur Tour Khyargas lake,Увс,Uvs,Малчин,Malchin,49.3244,93.16601,"95959503, 99129948",Tourism/Тайга лож.jpg,우구무르 투어 키아르가스 호수,ウグウムルツアー ヒャルガス湖,乌古穆尔之旅 卡亚尔加斯湖," Угумур Tur, озеро Кьяргас"
638,1,Жуулчны бааз,Tourist_Camp,Хяргас нуур,Khyargas lake,Увс,Uvs,Хяргас,Khyargas,49.20744,93.61869,"88076885, 98642009, 99113907",Tourism/Тайга тур.jpg,캬르가스 호수 관광 캠프,ヘアルガス湖ツーリストキャンプ,凯亚加斯湖旅游营地,Туристический лагерь на озере Хьяргас
639,1,Жуулчны бааз,Tourist_Camp,Хяргас нуур ресорт,Khyargas lake Resort,Увс,Uvs, Малчин,Malchin,49.31681,93.16992,"99960664, 99993990",Tourism/Тайж ресорт.jpg,캬르가스 호수 관광 캠프,ヘアルガス湖ツーリストキャンプ,凯亚加斯湖旅游营地,Туристический лагерь на озере Хьяргас
640,1,Жуулчны бааз,Tourist_Camp,Хяргас Хөх Бух ,Khyargas Khukh Bukh,Увс,Uvs, Малчин,Malchin,49.3394,93.12841,"95454080, 99081869",Tourism/Тайхар амралт.jpg,Khyargas Khukh Bukh 투어리스트 캠프,ヘアルガス クク ブク ツーリスト キャンプ,Khyargas Khukh Bukh 旅游营地,Туристическая база Хяргас Хух Бух
641,1,Жуулчны бааз,Tourist_Camp,Хар тэрмис жуулчны бааз,Khar Termis Tourist Camp,Увс,Uvs,Малчин,Malchin,49.32878,93.16084,"99456796, 95910181",Tourism/Тайхар жуулчны бааз.jpg,카르 테르메스테이 리조트,カール テルメステイ リゾート,卡尔泰尔麦斯泰度假村,Курорт Хар Термест
642,1,Жуулчны бааз,Tourist_Camp,Жаргалант жуулчны бааз,Jargalant Tourist Camp,Увс,Uvs,Наранбулаг,Naranbulag,49.33572,92.87344,"99128220, 95626368, 80646368",Tourism/Талын буйр.jpg,자르갈란트 관광 캠프,ジャルガラント ツーリスト キャンプ,贾尔加兰特旅游营地,Туристический лагерь Джаргалант
643,1,Жуулчны бааз,Tourist_Camp,Мөнгөн давалгаа,Mungun Davalgaa,Увс,Uvs, Малчин,Malchin,49.30806,93.05536,"99198475, 99795154",Tourism/Талын нүүдэлчид.jpg,문군 다발가 관광 캠프,ムングン ダヴァルガー ツーリスト キャンプ,蒙贡达瓦尔加旅游营地,Туристический лагерь Мунгун Давалгаа
644,1,Жуулчны бааз,Tourist_Camp,Агина тур ,Agina Tour,Увс,Uvs,Малчин,Malchin,49.32422,93.06973,88086774,Tourism/Талын түмэн адуу.jpg,아지나 투어,アギナツアー,阿吉娜之旅,Тур Агины
645,2,Амралтын газар,Resort,Баянхайрхан амралт,Bayankhairkhan Resort,Увс,Uvs, Малчин,Malchin,49.33255,93.15455,"99456530, 98454510",Tourism/Тамир вэлнес.jpg,바얀헤어칸 투어리스트 캠프,バヤンカールカン ツーリスト キャンプ,巴彦凯尔汗旅游营地,Туристический лагерь Баянхайрхан
646,1,Жуулчны бааз,Tourist_Camp,Дөлгөөн нуур тур ресорт,Dulguun Nuur Tour Resort,Увс,Uvs,Малчин,Malchin,49.3357,93.10306,"99114745, 89905409",Tourism/Тарлан мод Богоч.jpg,둘군 레이크 리조트,ドゥルグン レイク リゾート,杜尔衮湖度假村,Дулгун Лейк Резорт
647,2,Амралтын газар,Resort,Хяргас гэр бүлийн амралт,Khyargas Family resort ,Увс,Uvs,Наранбулаг,Naranbulag,49.33512,92.87277,"99453011, 88244299",Tourism/Тарни амралт.jpg,캬르가스 패밀리 리조트,カヤルガス ファミリー リゾート,凯亚加斯家庭度假村,Семейный курорт Хьяргас
648,1,Жуулчны бааз,Tourist_Camp,Нуурын хишиг ,Nuuryn Khishig,Увс,Uvs, Малчин,Malchin,49.32071,93.16731,99459366,Tourism/Тарни голын лож.jpg,누린 키시그,ヌーリン・キシグ,努林·希希格,Нуурин Хишиг
649,1,Жуулчны бааз,Tourist_Camp,Эрдэст ,Erdest,Увс,Uvs,Хяргас,Khyargas,49.25596,93.40964,,Tourism/Тахийн тал бааз.jpg,에르데스트,エルデスト,厄尔德斯特,Эрдест
650,1,Жуулчны бааз,Tourist_Camp,Хоньчин Найдан,Khonchin Naidan,Увс,Uvs,Малчин,Malchin,49.32278,93.16627,,Tourism/Тахилт жуулчны бааз.jpg,콘친 나이단,コンチン・ナイダン,孔钦·奈丹,Хончин Найдан
651,2,Амралтын газар,Resort,Онцгой байдал амралт,Ontsgoi Baidal Resort,Увс,Uvs,Малчин,Malchin,49.32595,93.16125,,Tourism/Тахь ресорт.jpg,온츠고이 바이달 리조트,オンツゴイ バイダル リゾート,翁茨戈伊·拜达尔度假村,Курорт Онтсгой Байдал
652,2,Амралтын газар,Resort,Хилчин ,Khilchin,Увс,Uvs,Малчин,Malchin,49.33886,93.13354,,Tourism/Тахь эко лож.jpg,킬친,キルチン,希尔钦,Хильчин
653,1,Жуулчны бааз,Tourist_Camp,Жуулчны бааз,Tourist Camp,Увс,Uvs,Малчин,Malchin,49.33858,93.11863,,Tourism/Тогос хайрхан.jpg,관광 캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
654,1,Жуулчны бааз,Tourist_Camp,Баатархүү,Baatarkhuu,Увс,Uvs,Малчин,Malchin,49.33014,93.08272,,Tourism/Тогостой амралт.jpg,바타르쿠,バータルフー,巴塔尔库,Баатархуу
655,1,Жуулчны бааз,Tourist_Camp,Нарлаг тээг ,Narlag Teeg,Увс,Uvs,Наранбулаг,Naranbulag,49.28791,92.79851,,Tourism/Тод тэрэлж.jpg,나를라그 티그,ナルラグ・ティーグ,纳拉格·提格,Нарлаг Тиг
656,3,Рашаан сувилал,Spa_Resort,Хүнхийн рашаан /Гивант/,Hunkhiin Rashaan /Givant/,Увс,Uvs, Зүүнхангай,Zuunkhangai,49.4874,95.19005,98112105,Tourism/Тойлогт.jpg,훈킨 라샨 /기반트/,フンキーン・ラシャーン /ギヴァント/,昆钦泉 /Givant/,Хункхин Рашаан /Гивант/
657,1,Жуулчны бааз,Tourist_Camp,Тарлаг тур бааз,Tarlag Tour Camp,Увс,Uvs,Баруунтуруун,Baruunturuun,49.60241,95.10513,"86339919, 98150609",Tourism/Толбо гуанз.jpg,타를라그 투어 캠프,タルラグツアーキャンプ,塔拉格旅游营地,Туристический лагерь Тарлаг
658,1,Жуулчны бааз,Tourist_Camp,Найрсаг андууд ,Nairsag Anduud,Увс,Uvs,Зүүнговь,Zuungovi,50.02562,94.02362,,Tourism/Толбо нуур.jpg,나이르사그 안두드,ナイサグ・アンドゥード,奈尔萨格·安杜德,Наирсаг Андууд
659,6,Замын гуанз,Roadside_Diner,Можито эргийн бар,Mojito beach bar,Увс,Uvs,Улаангом,Ulaangom,50.11828,92.39086,94703225,Tourism/Толгойт өртөө.jpeg,모히토 비치 바,モヒートビーチバー,莫吉托海滩酒吧,пляжный бар «Мохито»
660,1,Жуулчны бааз,Tourist_Camp,Увс нуур,Uvs Lake,Увс,Uvs, Улаангом,Ulaangom,50.10463,92.35308,"99992952, 95952952",Tourism/Тоонот вилла.jpg,우브스 누르 투어리스트 캠프,ウヴス ヌール ツーリスト キャンプ,乌布苏努尔旅游营地,Туристическая база Увс-Нур
661,1,Жуулчны бааз,Tourist_Camp,Чандмань тур ,Chandmani Tour,Увс,Uvs,Улаангом,Ulaangom,49.92961,92.0542,"99188270, 99450966, 98198198",Tourism/Тоонот отог.jpg,찬드마니 럭스 투어 리조트,チャンドマニ ラックス ツアー リゾート,昌德玛尼豪华旅游度假村,Чандмани Люкс Тур Резорт
662,1,Жуулчны бааз,Tourist_Camp, Тээл парк,Teel Park,Увс,Uvs,Тариалан,Tarialan,49.90094,92.19866,"88275111, 99885111, 88990219",Tourism/Торгоны замын нууц.jpg,티엘파크 관광캠프,ティール パーク ツーリスト キャンプ,蒂尔公园旅游营地,Туристический лагерь Тил Парк
663,1,Жуулчны бааз,Tourist_Camp,Таван-Эрдэнэ гэр бааз,Tavan-Erdene Ger camp,Увс,Uvs,Улаангом ,Ulaangom,49.95981,92.0423,"99454527, 99446991, 96566616",Tourism/Торлогт.jpg,타반-에르데네 게르 캠프,タヴァン・エルデネ・ゲルキャンプ,塔万额尔登格尔营地,Герный лагерь Таван-Эрдене
664,1,Жуулчны бааз,Tourist_Camp,Улаан уул гэр бааз,Ulaan Uul Ger Camp,Увс,Uvs,Улаангом ,Ulaangom,49.94979,92.04086,99059166,Tourism/Тосонцэнгэл нисэх.jpg,울란 울 게르 캠프,ウラン・ウル・ゲル・キャンプ,乌兰乌尔蒙古包营地,Ulaan Uul Ger Camp
665,2,Амралтын газар,Resort,Ногоон төгөл амралт - сувилал ,Nogoon Tugul Resort,Увс,Uvs,Улаангом ,Ulaangom,49.96393,92.08275,80089848,Tourism/Три звезда.jpg,노군 투굴 리조트,ノグーン トゥグル リゾート,诺贡图古尔度假村,Курорт Ногун Тугул
666,1,Жуулчны бааз,Tourist_Camp, Ойрад хийц ,Oirad Khiits,Увс,Uvs,Улаангом ,Ulaangom,49.96354,92.08275,,Tourism/Триплор.jpg,오이라드 키츠,オイラド・キーツ,奥伊拉德·希茨,Ойрад Хиитс
667,1,Жуулчны бааз,Tourist_Camp,Дэлгэрмөрөн ресорт,Delgrer Murun Resort,Увс,Uvs,Улаангом ,Ulaangom,50.0093,92.0292,,Tourism/Туваандорж.jpg,델그레르 무룬 리조트,デルグレル・ムルン・リゾート,德尔格雷尔穆伦度假村,Курорт Дельгрер Мурун
668,1,Жуулчны бааз,Tourist_Camp,Чандмань люкс тур,Chandmani luxe tour,Увс,Uvs,Улаангом ,Ulaangom,50.02315,92.01595,,Tourism/Туж 89 амралт.jpg,찬드마니 럭스 투어,チャンドマニ ラグジュアリー ツアー,昌德玛尼豪华之旅,роскошный тур Чандмани
669,1,Жуулчны бааз,Tourist_Camp,Амар байгаль,Amar Baigal,Увс,Uvs,Улаангом ,Ulaangom,50.03085,92.01206,,Tourism/ТужЭко.jpg,아마르 바이갈,アマル・バイガル,阿马尔·拜加尔,Амар Байгал
670,1,Жуулчны бааз,Tourist_Camp,Оршин тогтнохуй жуулчны бааз,OT Tourist Camp,Увс,Uvs,Түргэн,Turgen,49.94425,91.27277,"99136772, 89006772",Tourism/Тужийн нарс 307.jpg,OT 관광 캠프,OTツーリストキャンプ,OT旅游营地,Туристический лагерь ОТ
671,1,Жуулчны бааз,Tourist_Camp,Сүлдэт цахир,Suldet Tsakhir,Увс,Uvs,Сагил,Sagil,50.08958,91.0451,"86691200, 89119045, 99719948",Tourism/Тулын тохой.jpg,술뎃 캠프,スルデットキャンプ,苏尔代营地,Лагерь Сулдет
672,1,Жуулчны бааз,Tourist_Camp,Үүрэг нуур тур бааз,Uureg lake Tour Camp,Увс,Uvs,Сагил,Sagil,50.20888,91.12888,"95405650, 99622409",Tourism/Тунгалаг тамир.png,우레그 호수 투어 캠프,ウーレグ湖ツアーキャンプ,乌列格湖旅游营地,Туристический лагерь на озере Уурег
673,1,Жуулчны бааз,Tourist_Camp,Үүргийн долгио,Uurgiin Dolgio,Увс,Uvs,Сагил,Sagil,50.20639,91.12896,"99803917, 99961167",Tourism/Тур база Край земли.jpg,우르긴 돌지오,ウルギン・ドルギオ,乌尔金·多尔吉奥,Уургиин Долгио
674,1,Жуулчны бааз,Tourist_Camp,Одонт Дэглий,Odont Deglii,Увс,Uvs,Түргэн ,Turgen,49.89161,91.35466,"89805166, 99004966",Tourism/Тур база Легенда Хубсугула.jpg,오돈트 델리,オドント・デッリ,奥登特·德格利,Одонт Деглий
675,1,Жуулчны бааз,Tourist_Camp,Нутгийн жим ,Nutgiin Jim,Увс,Uvs,Түргэн ,Turgen,49.93768,91.24889,"89910221, 99683701, 99450221",Tourism/Турто кэмп.jpg,넛진 짐,ナタギン・ジム,努特金·吉姆,Нутгин Джим
676,1,Жуулчны бааз,Tourist_Camp,Ундрал мөнх хайрхан ,Undral Munkh Khairkhan,Увс,Uvs,Тариалан,Tarialan,49.8094,91.94961,99454306,Tourism/Туул ривер сайд.jpg,安德拉尔·蒙克·海尔汗,ウンドラル・ムンク・カイルハン,安德拉尔·蒙克·海尔汗,Ундрал Мункх Хайрхан
677,1,Жуулчны бааз,Tourist_Camp,Байгаль эх,Baigal Ekh,Увс,Uvs,Тариалан,Tarialan,49.7786,91.86878,"99458787, 99456767",Tourism/Туулын байшин.jpg,바이갈 에크,バイガル・エフ,拜加尔·埃赫,Байгал Эх
678,2,Амралтын газар,Resort,Хархираа ,Kharkhiraa,Увс,Uvs,Улаангом,Ulaangom,49.92485,91.80668,88058666,Tourism/Тухлаг газар.jpg,카르키라,カルヒラ,卡尔基拉,Хархираа
679,5,Хүүхдийн зуслан,Children_Summer_Camp,Хархираа хүүхдийн зуслан ,Kharkhiraa Children's Camp,Увс,Uvs,Улаангом,Ulaangom,49.91953,91.78771,99452021,Tourism/Тухлаг шовгор.jpg,카르키라 어린이 캠프,カルヒラー子供キャンプ,卡尔基拉儿童营,Детский лагерь Хархираа
680,1,Жуулчны бааз,Tourist_Camp,Их нуур,Ikh Nuur,Увс,Uvs,Улаангом,Ulaangom,49.92411,91.80728,99255265,Tourism/Тухлах газар.jpg,이크 누르,イク・ヌール,伊赫·努尔,Их Нуур
681,1,Жуулчны бааз,Tourist_Camp,Их барилга Увс ХК Цүнхэг,Tsunkheg,Увс,Uvs,Түргэн,Turgen,50.04572,91.62787,"77888111, 99452858, 99298335",Tourism/Тэгри говь.jpg,춘케그,ツンケグ,淳克,Цунхег
682,1,Жуулчны бааз,Tourist_Camp,Гэр толгой,Ger Tolgoi,Увс,Uvs,Ховд,Khovd,49.4271,91.21142,,Tourism/Тэгри мед.jpg,게르 톨고이,ゲル・トルゴイ,格尔·托尔戈伊,Гер Толгой
683,2,Амралтын газар,Resort,Ногооны рашаан амралт сувилал,Nogoon Rashaan Resort,Увс,Uvs,Өмнөговь,Omnogovi,49.28526,91.59039,"96674369, 88674369",Tourism/Тэлмэн андууд.jpg,노군 라샨 리조트,ノグーン ラシャーン リゾート,诺贡拉沙安度假村,Nogoon Rashaan Resort
684,1,Жуулчны бааз,Tourist_Camp,Үүрэг нуур ,Uureg Lake,Увс,Uvs, Сагил,Sagil,50.08414,91.08054,99459070,Tourism/Тэлмэн тэрэлж.jpg,유레그 리조트,ウーレグ リゾート,乌雷格度假村,Курорт Уурег
685,7,Нисэх буудал,Airport,Дэглий цагаан нисэх буудал,Deglii Tsagaan Airport,Увс,Uvs,Түргэн,Turgen,50.06875,91.93346,70452873,Tourism/Тэлмүүн тэрэлж.jpg,Deglii Tsagaan 공항,デリイ ツァガーン空港,德格利查干机场,Аэропорт Дельи Цагаан
686,1,Жуулчны бааз,Tourist_Camp,Отоглох цэг,Camping Spot,Увс,Uvs,Малчин,Malchin,49.12815,93.80844,,Tourism/Тэнгэр ресорт.jpg,캠핑장,キャンプスポット,露营地,Место для кемпинга
687,8,Хилийн боомт,Border_Crossing,Боршоо хилийн Боомт,Borshoo Border Station,Увс,Uvs,Давст,Davst,50.69426,92.06544,,Tourism/Тэнгэрийн мөрөөдөл.jpg,보르슈 국경역,ボルショー国境駅,博尔舒边境站,Пограничная станция Боршоо
688,10,Шатахуун түгээх станц,Gas_Station,Перовис ШТС,Petrovis Gas Station,Увс,Uvs,Зүүнговь,Zuungovi,49.90151,93.80189,91223002,Tourism/Тэнгэрийн элч.jpg,페트로비스 주유소,ペトロヴィスガソリンスタンド,Petrovis加油站,Автозаправочная станция Петровис
689,10,Шатахуун түгээх станц,Gas_Station,Тэс петролеум ШТС,Tes Petroleum Cas Station,Увс,Uvs,Тариалан,Tarialan,49.97887,92.10441,70003003,Tourism/Тэнма.JPG,테스 석유 주유소,テス石油ガソリンスタンド,Tes石油加油站,Автозаправочная станция Тэс  Петролеум
690,9,Төмөр замын өртөө,Railway_Station,Багануур төмөр замын өртөө,Baganuur Railway Station,Улаанбаатар,Ulaanbaatar,Багануур,Baganuur,47.76069,108.37127,,Tourism/Тэнхлэг кэмп.jpg,바가누르 기차역,バガヌール駅,巴加努尔火车站,Железнодорожная станция Багануур
691,2,Амралтын газар,Resort,Агаарлая амралт,Agaarlaya Resort,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.863401,106.898002,96360096,Tourism/Тэнүүн богд.jpg,아가라야 리조트,アガールラヤ リゾート,阿加拉雅度假村,Агаарлайя Резорт
692,1,Жуулчны бааз,Tourist_Camp,Чингисийн өргөө зочид буудал,Chingisiin Urgoo Hotel And Restaurant,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.8641,106.904201,93221515,Tourism/Тэр их нуур.jpg,Chingisiin Urgoo 호텔 앤 레스토랑,チンギシイン ウルグー ホテル アンド レストラン,成吉思因乌尔古餐厅酒店,Отель и ресторан Чингисийн Ургоо
693,1,Жуулчны бааз,Tourist_Camp,Овооны энгэр жуулчны бааз,Ovoony Enger Tourist Camp,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.745939,107.002285,99083229,Tourism/Тэргэл саран.jpg,오부니 엥거 투어리스트 캠프,オヴォニー エンガー ツーリスト キャンプ,奥沃尼恩格尔旅游营地,Туристический лагерь Овооы Энгер
694,1,Жуулчны бааз,Tourist_Camp,Жуулчны бааз,Tourist Camp,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.879894,107.004764,,Tourism/Тэрх энх буудал.jpg,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
695,1,Жуулчны бааз,Tourist_Camp,Скай ресорт цогцолбор,Sky Resort Ski Complex,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.87816,107.04437,77000909,Tourism/Тэрх өргөө.jpg,스카이 리조트 스키장,スカイリゾートスキー場,天空度假村滑雪场,Горнолыжный комплекс Скай Резорт
696,2,Амралтын газар,Resort,Гүнж амралт,Gunj Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.835342,107.11101,89033678,Tourism/Тэрэж стар ресорт.jpg,군지 리조트,グンジ リゾート,甘吉度假村,Гундж Резорт
697,2,Амралтын газар,Resort,Бумбат амралт,Bumbat Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.828216,107.107422,98285252,Tourism/Тэрэлж Бумбан тур.jpg,붐뱃 리조트,ブンバット リゾート,班巴特度假村,Бумбат Резорт
698,2,Амралтын газар,Resort,Бумбат эко амралт,Bumbat Eco Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.833184,107.110794,94996816,Tourism/Тэрэлж алтай.jpg,범밭 에코 리조트,ブンバット エコ リゾート,布姆巴特生态度假村,Бумбат Эко Резорт
699,1,Жуулчны бааз,Tourist_Camp,Жуулчны бааз,Tourist Camp,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.831391,107.117615,,Tourism/Тэрэлж гарден.jpg,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
700,2,Амралтын газар,Resort,Цэцээ гүн амралт,Tsetsee Gun Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.786901,107.095626,99292394,Tourism/Тэрэлж гэр бүлийн спот.jpg,체체 건 리조트,ツェツェー ガン リゾート,采塞枪度假村,Цетзее Ган Резорт
701,2,Амралтын газар,Resort,Арван гэр амралт,10 Ger Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.785241,107.108695,99047499,Tourism/Тэрэлж гэр бүлийн тур.jpg,10 게르 리조트,10 ゲル リゾート,10 格度假村,Курорт 10 Гер
702,2,Амралтын газар,Resort,Манлайн баясгалан амралт,Manlain Bayasgalan Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.786027,107.113139,86519999,Tourism/Тэрэлж жимбий.jpg,만라인 바야스갈란 리조트,マンレイン バヤスガラン リゾート,曼兰巴亚斯加兰度假村,Манлаин Баясгалан Резорт
703,2,Амралтын газар,Resort,Тэнүүн богд амралт,Tenuun Bogd Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.786076,107.114135,86692288,Tourism/Тэрэлж кэйр.jpg,테누운 복드 리조트,テヌウン ボグド リゾート,特努恩博格德度假村,Тенуун Богд Резорт
704,2,Амралтын газар,Resort,Мянганы төгөл цогцолбор,Myangany Tugul Tsogtsolbor,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.78494,107.11529,99882337,Tourism/Тэрэлж лайт хаус.jpg,미얀마 투굴 Tsogtsolbor,ミャンガニー トゥグル ツォグツォルボル,缅甸·图古尔·措特索尔博尔,Мьянгани Тугул Цогцолбор
705,2,Амралтын газар,Resort,Төр хуралдай амралт,Tur Khuraldai Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.78603,107.11872,88114777,Tourism/Тэрэлж ланд.jpg,투르 쿠랄다이 리조트,トゥール クラルダイ リゾート,图尔呼拉尔代度假村,Курорт Тур Хуралдай
706,2,Амралтын газар,Resort,Төр хур амралт,Tur Khur Resort,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.78964,107.11628,99790344,Tourism/Тэрэлж лож.jpg,투르 커 리조트,トゥル クル リゾート,图尔库尔度假村,Тур Хур Резорт
707,1,Жуулчны бааз,Tourist_Camp,Жуулчны бааз,Tourist Camp,Улаанбаатар,Ulaanbaatar,Баянзүрх,Bayanzurkh,47.791422,107.120681,,Tourism/Тэрэлж люкс буудал.jpg,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
708,1,Жуулчны бааз,Tourist_Camp,Мандала блисс монгол кэмп,Mandala Bliss Mongolia,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.73949,106.79717,89879933,Tourism/Тэрэлж маунтин.jpg,만다라 블리스 몽골리아,マンダラ ブリス モンゴル,曼陀罗极乐蒙古,Мандала Блисс Монголия
709,1,Жуулчны бааз,Tourist_Camp,Унага жуулчны бааз,Unaga Camp,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.748275,106.790926,88189293,Tourism/Тэрэлж ресорт.jpg,우나가 캠프,ウナガキャンプ,乌纳加营地,Лагерь Унага
710,1,Жуулчны бааз,Tourist_Camp,Долоон бурхан гэр жуулчны бааз,Doloon Burkhan Ger Camp,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.757426,106.790481,88775027,Tourism/Тэрэлж ривер сайд.jpg,돌룬 부르칸 게르 캠프,ドルーン ブルカン ゲル キャンプ,多隆布尔汗蒙古包营地,Лагерь Долун Бурхан Гер
711,1,Жуулчны бааз,Tourist_Camp,Мөнхтэнгэр-2 богд жуулчны бааз,Munkhtenger-2 Bogd Tourist Camp,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.798363,106.802367,99198811,Tourism/Тэрэлж рок.jpg,Munkhtenger-2 Bogd 관광 캠프,ムンクテンゲル-2 ボグド ツーリスト キャンプ,Munkhtenger-2 博格德旅游营地,Туристическая база «Мунхтенгер-2 Богд»
712,1,Жуулчны бааз,Tourist_Camp,Чингис ордон ,Chinggis Palace,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.808006,106.787023,88814995,Tourism/Тэрэлж роял кэмп.jpg,칭기즈궁,チンギス宮殿,成吉思汗宫,Дворец Чингиса
713,2,Амралтын газар,Resort,Эко ахмадын амралт,Eco Akhmadyn Amralt,Улаанбаатар,Ulaanbaatar,Хан-Уул,Khan-Uul,47.805154,106.795038,75092929,Tourism/Тэрэлж саран.jpg,에코 아크마딘 암랄트,エコ アフマディン アムラルト,生态·艾哈迈丁·阿姆拉尔特,Эко Ахмадын Амралт
